source,target,is_chronic_path,gender_f,gender_m,gender_all,age_le_40,age_mid,age_gt_60,age_all,within_02_years,within_05_years,within_10_years,within_all_years,Weight
13,25,0,1,0,1,0,0,1,1,1,1,1,1,31
13,25,0,1,0,1,0,1,0,1,0,0,0,1,1
13,25,0,1,0,1,0,1,0,1,0,0,1,1,1
13,25,0,1,0,1,0,1,0,1,0,1,1,1,2
13,25,0,1,0,1,0,1,0,1,1,1,1,1,6
13,25,0,1,0,1,1,0,0,1,0,0,1,1,2
13,25,0,1,0,1,1,0,0,1,1,1,1,1,6
1,12,0,0,1,1,0,0,1,1,0,0,0,1,2
1,12,0,0,1,1,0,1,0,1,0,0,0,1,1
1,12,0,0,1,1,0,1,0,1,1,1,1,1,3
1,12,0,1,0,1,0,0,1,1,1,1,1,1,1
1,12,0,1,0,1,0,1,0,1,0,0,1,1,1
1,12,0,1,0,1,1,0,0,1,1,1,1,1,12
1,13,0,0,1,1,0,0,1,1,1,1,1,1,9
1,13,0,0,1,1,0,1,0,1,0,0,0,1,2
1,13,0,1,0,1,0,0,1,1,0,0,0,1,3
1,13,0,1,0,1,0,0,1,1,0,0,1,1,1
1,13,0,1,0,1,0,0,1,1,0,1,1,1,12
1,13,0,1,0,1,0,0,1,1,1,1,1,1,8
1,13,0,1,0,1,0,1,0,1,0,0,0,1,2
1,13,0,1,0,1,0,1,0,1,0,1,1,1,1
1,2,1,0,1,1,0,0,1,1,1,1,1,1,18
1,2,1,0,1,1,0,1,0,1,0,1,1,1,1
1,2,1,0,1,1,0,1,0,1,1,1,1,1,2
1,2,1,1,0,1,0,0,1,1,0,1,1,1,3
1,2,1,1,0,1,0,0,1,1,1,1,1,1,49
1,2,1,1,0,1,0,1,0,1,1,1,1,1,6
1,2,1,1,0,1,1,0,0,1,0,1,1,1,1
1,2,1,1,0,1,1,0,0,1,1,1,1,1,4
1,14,0,0,1,1,0,0,1,1,1,1,1,1,2
1,14,0,1,0,1,0,0,1,1,0,1,1,1,1
